"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WESD","WESF","WSFG"
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-24",,,"0.10","0.0",,,,,,,"0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-25",,,"0.80","0.0",,,,,,,"0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-26",,,"0.05",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-27",,,"0.05",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-28",,,"0.09",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-29",,,"0.02",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-30",,,"0.05",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-01-31",,,"0.19",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-01",,,"0.45",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-02",,,"1.07",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-03",,,"0.22",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-04",,,"0.01",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-05",,,"0.42",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-06",,,"0.17",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-07",,,"0.01",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-08",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-09",,,"0.00","0.0",,,,,,,"0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-10",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-11",,,"0.00","0.0",,,,,,,"0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-12",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-13",,,"0.14","1.8",,,,,,,"0.1",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-14",,,"0.19","2.3",,,,,,,"0.2",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-15",,,"0.64","3.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-16",,,"0.13",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-17",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-18",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-19",,,"0.19",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-20",,,"0.07",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-21",,,"0.17",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-22",,,"0.19",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-23",,,"0.01",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-24",,,"0.01",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-25",,,"0.53","0.0","0.0",,,,,"0.0","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-26",,,"0.05",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-27",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-02-28",,,"0.25",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-01",,,"0.09",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-02",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-03",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-04",,,"0.00",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-05",,,"0.32",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-06",,,"0.04",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-07",,,"0.08",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-08",,,"0.05",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-09",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-10",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-11",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-12",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-13",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-14",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-15",,,"0.11",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-16",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-17",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-18",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-19",,,"0.32",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-20",,,"0.23",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-21",,,"0.01",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-22",,,"0.52",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-23",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-24",,,"0.18",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-25",,,"0.18",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-26",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-27",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-28",,,"0.09",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-29",,,"0.14",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-30",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-03-31",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-01",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-02",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-03",,,"0.01",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-04",,,"0.07",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-05",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-06",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-07",,,"0.04",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-08",,,"0.15",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-09",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-10",,,"0.05",,,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-11",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-12",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-13",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-14",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-15",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-16",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-17",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-18",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-19",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-20",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-21",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-22",,,"0.00","0.0",,,,,,,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2021-04-23",,,"0.00","0.0",,,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-01",,,"0.33","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-02",,,"0.67","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-03",,,"0.58","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-04",,,"0.43","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-05",,,"1.41","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-06",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-07",,,"0.28","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-08",,,"0.14","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-09",,,"0.24","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-10",,,"0.24","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-11",,,"1.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-12",,,"0.60","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-13",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-14",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-15",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-16",,,"0.28","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-17",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-18",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-19",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-20",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-21",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-22",,,"0.00","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-23",,,"0.05","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-24",,,"0.76","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-25",,,"0.03","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-26",,,"0.02","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-27",,,"0.13","0.0","0.0",,,,,,,
"CA001106764","RICHMOND DALLYN 2, BC CA","2021-01-28",,,"0.00","0.0","0.0",,,,,,,
